Cancion,Album,year,month,day
Blank Space,1989,2014,10,27
Style,1989,2014,10,27
Out Of The Woods,1989,2014,10,27
All You Had to Do Was Stay,1989,2014,10,27
Shake It Off,1989,2014,10,27
I Wish You Would,1989,2014,10,27
Bad Blood,1989,2014,10,27
I Know Places,1989,2014,10,27
Clean,1989,2014,10,27
Wonderland,1989,2014,10,27
You Are in Love,1989,2014,10,27
New Romantics,1989,2014,10,27
Tim McGraw,Taylor Swift,2006,10,24
Picture to Burn,Taylor Swift,2006,10,24
Teardrops on My Guitar,Taylor Swift,2006,10,24
A Place in This World,Taylor Swift,2006,10,24
Cold as You,Taylor Swift,2006,10,24
The Outside,Taylor Swift,2006,10,24
Tied Together with a Smile,Taylor Swift,2006,10,24
Stay Beautiful,Taylor Swift,2006,10,24
Should've Said No,Taylor Swift,2006,10,24
Mary's Song (Oh My My My),Taylor Swift,2006,10,24
Our Song,Taylor Swift,2006,10,24
I'm Only Me When I'm With You,Taylor Swift,2006,10,24
Invisible,Taylor Swift,2006,10,24
A Perfectly Good Heart,Taylor Swift,2006,10,24
Breathe,Fearless,2021,4,9
Love Story,Fearless,2021,4,9
Tell Me Why,Fearless,2021,4,9
The Best Day,Fearless,2021,4,9
Hey Stephen,Fearless,2021,4,9
You Belong with Me,Fearless,2021,4,9
Fifteen,Fearless,2021,4,9
Change,Fearless,2021,4,9
Fearless,Fearless,2021,4,9
Forever & Always,Fearless,2021,4,9
The Way I Loved You,Fearless,2021,4,9
White Horse,Fearless,2021,4,9
You're Not Sorry,Fearless,2021,4,9
Better Than Revenge,Speak Now,2010,10,25
Long Live,Speak Now,2010,10,25
Sparks Fly,Speak Now,2010,10,25
Back To December,Speak Now,2010,10,25
Enchanted,Speak Now,2010,10,25
The Story Of Us,Speak Now,2010,10,25
Mine,Speak Now,2010,10,25
Haunted,Speak Now,2010,10,25
Dear John,Speak Now,2010,10,25
Mean,Speak Now,2010,10,25
Innocent,Speak Now,2010,10,25
Last Kiss,Speak Now,2010,10,25
Never Grow Up,Speak Now,2010,10,25
Speak Now,Speak Now,2010,10,25
The Last Time (Taylor’s version),Red,2021,11,12
Nothing New (Taylor’s version),Red,2021,11,12
Everything Has Changed (Taylor’s version),Red,2021,11,12
I Bet You Think About Me (Taylor’s version),Red,2021,11,12
Run (Taylor’s version),Red,2021,11,12
The Very First Night (Taylor’s version),Red,2021,11,12
22 (Taylor’s version),Red,2021,11,12
State of Grace (Taylor’s version),Red,2021,11,12
Sad Beautiful Tragic (Taylor’s version),Red,2021,11,12
Better Man (Taylor’s version),Red,2021,11,12
I Almost Do (Taylor’s version),Red,2021,11,12
Forever Winter (Taylor’s version),Red,2021,11,12
Ronan (Taylor’s version),Red,2021,11,12
