Cancion,Album,Duracion,Feats,Vault
Welcome To New York,1989,3:32,,No
Blank Space,1989,3:51,,No
Style,1989,3:51,,No
Out Of The Woods,1989,3:55,,No
All You Had To Do Was Stay,1989,3:13,,No
Shake It Off,1989,3:39,,No
I Wish You Would,1989,3:27,,No
Bad Blood,1989,3:31,,No
Wildest Dreams,1989,3:40,,No
How You Get The Girl,1989,4:07,,No
This Love,1989,4:10,,No
I Know Places,1989,3:15,,No
Clean,1989,4:31,,No
Wonderland,1989,4:05,,No
You Are In Love,1989,4:27,,No
New Romantics,1989,3:50,,No
willow,Evermore,3:34,,No
champagne problems,Evermore,4:04,,No
gold rush,Evermore,3:05,,No
tis' the damn season,Evermore,3:49,,No
tolerate it,Evermore,4:05,,No
"no body, no crime (ft. HAIM)",Evermore,3:35,HAIM,No
happiness,Evermore,5:15,,No
dorothea,Evermore,3:45,,No
coney island (ft. The National),Evermore,4:35,The National,No
ivy,Evermore,4:20,,No
cowboy like me,Evermore,4:35,,No
long story short,Evermore,3:35,,No
marjorie,Evermore,4:17,,No
closure,Evermore,3:00,,No
evermore (ft. Bon Iver),Evermore,5:04,Bon Iver,No
right where you left be (Bonus Track),Evermore,4:05,,Yes
it's time to go (Bonus Track),Evermore,4:14,,Yes
Fearless,Fearless,4:01,,No
Fifteen,Fearless,4:54,,No
Love Story,Fearless,3:55,,No
Hey Stephen,Fearless,4:14,,No
White Horse,Fearless,3:54,,No
You Belong With Me,Fearless,3:51,,No
Breathe (ft. Colbie Caillat),Fearless,4:23,Colbie Caillat,No
Tell Me Why,Fearless,3:20,,No
You're Not Sorry,Fearless,4:21,,No
The Way I Loved You,Fearless,4:03,,No
Forever & Always,Fearless,3:45,,No
The Best Day,Fearless,4:05,,No
Change,Fearless,4:39,,No
Jump Then Fall,Fearless,3:57,,No
Untouchable,Fearless,5:12,,No
Come In With The Rain,Fearless,3:57,,No
Superstar,Fearless,4:23,,No
The Other Side Of The Door,Fearless,3:58,,No
Today Was A Fairytale,Fearless,4:01,,No
the 1,Folklore,3:30,,No
cardigan,Folklore,3:59,,No
the last great american dynasty,Folklore,3:51,,No
exile (ft. Bon Iver),Folklore,4:45,Bon Iver,No
my tears ricochet,Folklore,4:15,,No
mirrorball,Folklore,3:28,,No
seven,Folklore,3:28,,No
august,Folklore,4:21,,No
this is me trying,Folklore,3:15,,No
illicit affairs,Folklore,3:10,,No
invisible string,Folklore,4:12,,No
mad woman,Folklore,3:57,,No
epiphany,Folklore,4:49,,No
betty,Folklore,4:54,,No
peace,Folklore,3:54,,No
hoax,Folklore,3:40,,No
the lakes (Bonus Track),Folklore,3:31,,Yes
I Forgot That You Existed,Lover,2:50,,No
Cruel Summer,Lover,2:58,,No
Lover,Lover,3:41,,No
The Man,Lover,3:10,,No
The Archer,Lover,3:31,,No
I Think He Knows,Lover,2:53,,No
Miss Americana & The Heartbreak Prince,Lover,3:54,,No
Paper Rings,Lover,3:42,,No
Cornelia Street,Lover,4:47,,No
Death By A Thousand Cuts,Lover,3:18,,No
London Boy,Lover,3:10,,No
Soon You'll Get Better (ft. the Dixie Chicks),Lover,3:21,Dixie Chicks,No
False God,Lover,3:20,,No
You Need To Calm Down,Lover,2:51,,No
Afterglow,Lover,3:43,,No
ME! (ft. Brendon Urie),Lover,3:13,Brendon Urie,No
It's Nice To Have A Friend,Lover,2:30,,No
