Nombre,Album,Fecha_de_Lanzamiento,Numero_de_Pista,Acustica,Bailabilidad,Energia,Instrumentalidad,Vitalidad,Volumen,Caracter_hablado,Tempo,Valencia,Popularidad,Duracion
Lavender Haze,Midnights,2022-10-21,1,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,0.0976,86,3:22
Maroon,Midnights,2022-10-21,2,0.0573,0.637,0.398,1.03e-06,0.101,-8.294,0.0564,108.075,0.0374,82,3:38
Anti-Hero,Midnights,2022-10-21,3,0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,0.533,93,3:20
Snow On The Beach (feat. Lana Del Rey),Midnights,2022-10-21,4,0.69,0.663,0.319,0.000993,0.117,-13.481,0.0375,109.957,0.193,79,4:16
"You're On Your Own, Kid",Midnights,2022-10-21,5,0.401,0.696,0.396,5.2e-06,0.125,-10.289,0.0656,120.041,0.38,85,3:14
Midnight Rain,Midnights,2022-10-21,6,0.69,0.643,0.363,5.17e-05,0.115,-11.738,0.0767,139.865,0.23,85,2:54
Question...?,Midnights,2022-10-21,7,0.2,0.751,0.502,0.0,0.296,-8.763,0.167,108.943,0.106,76,3:30
Vigilante Shit,Midnights,2022-10-21,8,0.173,0.798,0.277,5.25e-05,0.121,-11.096,0.39,79.846,0.163,82,2:45
Bejeweled,Midnights,2022-10-21,9,0.0618,0.696,0.559,5.58e-05,0.0887,-9.19,0.0693,163.999,0.433,84,3:14
Labyrinth,Midnights,2022-10-21,10,0.785,0.406,0.306,0.488,0.122,-15.48,0.0517,110.014,0.122,76,4:07
Karma,Midnights,2022-10-21,11,0.0734,0.642,0.62,0.0,0.483,-7.091,0.0666,90.02,0.0969,90,3:24
Sweet Nothing,Midnights,2022-10-21,12,0.964,0.337,0.156,7.72e-05,0.115,-14.919,0.0518,176.655,0.39,77,3:08
Mastermind,Midnights,2022-10-21,13,0.553,0.662,0.357,0.00129,0.0837,-14.064,0.154,125.966,0.124,79,3:10
willow,evermore,2020-12-11,1,0.833,0.392,0.574,0.00179,0.145,-9.195,0.17,81.112,0.529,83,3:34
champagne problems,evermore,2020-12-11,2,0.92,0.462,0.24,0.0,0.113,-12.077,0.0377,171.319,0.32,83,4:04
gold rush,evermore,2020-12-11,3,0.83,0.512,0.462,0.166,0.121,-10.491,0.0408,112.05,0.353,75,3:05
‘tis the damn season,evermore,2020-12-11,4,0.735,0.575,0.434,6.59e-05,0.105,-8.193,0.0312,145.916,0.348,76,3:49
tolerate it,evermore,2020-12-11,5,0.878,0.316,0.361,2.67e-05,0.0797,-10.381,0.0488,74.952,0.221,79,4:05
"no body, no crime (feat. HAIM)",evermore,2020-12-11,6,0.418,0.546,0.613,0.0,0.103,-7.589,0.0264,79.015,0.535,74,3:35
happiness,evermore,2020-12-11,7,0.87,0.559,0.334,0.0,0.114,-10.733,0.0376,122.079,0.211,71,5:15
dorothea,evermore,2020-12-11,8,0.696,0.605,0.488,0.0,0.129,-8.322,0.0264,119.966,0.354,70,3:45
